codigo,alimento,energia_kcal,carbohidratos_g,proteinas_g,grasas_totales_g,fuente
,,,,,1.8,Argenfood - Universidad Nacional de Luján
,,,,,3.9,Argenfood - Universidad Nacional de Luján
,,,,,1.2,Argenfood - Universidad Nacional de Luján
,,,,,45.7,Argenfood - Universidad Nacional de Luján
,,,,,2.4,Argenfood - Universidad Nacional de Luján
,,,,,2.6,Argenfood - Universidad Nacional de Luján
,,,,,1.9,Argenfood - Universidad Nacional de Luján
,,,,,2.2,Argenfood - Universidad Nacional de Luján
,,,,,3.0,Argenfood - Universidad Nacional de Luján
,,,,,1.1,Argenfood - Universidad Nacional de Luján
,,,,,3.8,Argenfood - Universidad Nacional de Luján
,,,,,3.6,Argenfood - Universidad Nacional de Luján
,,,,,1.0,Argenfood - Universidad Nacional de Luján
,,,,,4.6,Argenfood - Universidad Nacional de Luján
,,,,,1.6,Argenfood - Universidad Nacional de Luján
,,,,,3.2,Argenfood - Universidad Nacional de Luján
,,,,,3.1,Argenfood - Universidad Nacional de Luján
,,,,,2.7,Argenfood - Universidad Nacional de Luján
,,,,,2.9,Argenfood - Universidad Nacional de Luján
,,,,,4.2,Argenfood - Universidad Nacional de Luján
,,,,,1.2,Argenfood - Universidad Nacional de Luján
,,,,,5.2,Argenfood - Universidad Nacional de Luján
,,,,,3.9,Argenfood - Universidad Nacional de Luján
,,,,,1.1,Argenfood - Universidad Nacional de Luján
,,,,,5.4,Argenfood - Universidad Nacional de Luján
,,,,,1.8,Argenfood - Universidad Nacional de Luján
,,45.0,,1.9,1.4,Argenfood - Universidad Nacional de Luján
,,78.0,,3.3,5.9,Argenfood - Universidad Nacional de Luján
,,99.0,,5.5,6.5,Argenfood - Universidad Nacional de Luján
,,71.0,,1.1,4.2,Argenfood - Universidad Nacional de Luján
,,520.0,,9.6,31.5,Argenfood - Universidad Nacional de Luján
,,57.0,,3.1,2.9,Argenfood - Universidad Nacional de Luján
,,57.0,,3.1,2.9,Argenfood - Universidad Nacional de Luján
,,44.0,,3.2,1.4,Argenfood - Universidad Nacional de Luján
,,489.0,,25.8,24.8,Argenfood - Universidad Nacional de Luján
,,370.0,,35.5,1.0,Argenfood - Universidad Nacional de Luján
,,328.0,,8.0,8.1,Argenfood - Universidad Nacional de Luján
,,758.0,,0.5,84.0,Argenfood - Universidad Nacional de Luján
,,246.0,,6.6,22.6,Argenfood - Universidad Nacional de Luján
,,104.0,,11.5,4.0,Argenfood - Universidad Nacional de Luján
,,82.0,,13.7,0.3,Argenfood - Universidad Nacional de Luján
,,182.0,,14.1,14.0,Argenfood - Universidad Nacional de Luján
,,309.0,,20.3,25.3,Argenfood - Universidad Nacional de Luján
,,287.0,,20.1,23.0,Argenfood - Universidad Nacional de Luján
,,282.0,,23.6,19.3,Argenfood - Universidad Nacional de Luján
,,302.0,,19.7,22.9,Argenfood - Universidad Nacional de Luján
,,291.0,,20.8,21.4,Argenfood - Universidad Nacional de Luján
,,260.0,,18.0,20.9,Argenfood - Universidad Nacional de Luján
,,324.0,,21.8,26.3,Argenfood - Universidad Nacional de Luján
,,301.0,,20.4,22.7,Argenfood - Universidad Nacional de Luján
,,357.0,,29.5,26.5,Argenfood - Universidad Nacional de Luján
,,328.0,,25.9,24.9,Argenfood - Universidad Nacional de Luján
,,340.0,,24.3,33.6,Argenfood - Universidad Nacional de Luján
,,480.0,,21.6,43.7,Argenfood - Universidad Nacional de Luján
,,379.0,,28.6,29.4,Argenfood - Universidad Nacional de Luján
,,345.0,,25.1,27.2,Argenfood - Universidad Nacional de Luján
,,410.0,,24.8,34.5,Argenfood - Universidad Nacional de Luján
,,426.0,,19.2,38.8,Argenfood - Universidad Nacional de Luján
,,404.0,,28.6,31.3,Argenfood - Universidad Nacional de Luján
,,358.0,,21.8,30.1,Argenfood - Universidad Nacional de Luján
,,345.0,,25.5,27.0,Argenfood - Universidad Nacional de Luján
,,332.0,,25.4,25.6,Argenfood - Universidad Nacional de Luján
,,402.0,,29.7,31.5,Argenfood - Universidad Nacional de Luján
,,350.0,,32.7,24.4,Argenfood - Universidad Nacional de Luján
,,391.0,,32.1,29.2,Argenfood - Universidad Nacional de Luján
,,365.0,,33.4,24.2,Argenfood - Universidad Nacional de Luján
,,402.0,,30.0,29.1,Argenfood - Universidad Nacional de Luján
,,357.0,,29.4,26.6,Argenfood - Universidad Nacional de Luján
,,168.0,,11.6,11.8,Argenfood - Universidad Nacional de Luján
,,66.0,,4.6,3.0,Argenfood - Universidad Nacional de Luján
,,88.0,,4.4,2.4,Argenfood - Universidad Nacional de Luján
,,59.0,,4.3,0.2,Argenfood - Universidad Nacional de Luján
,,82.0,,2.8,2.2,Argenfood - Universidad Nacional de Luján
,,30.0,,3.3,0.1,Argenfood - Universidad Nacional de Luján
,,156.0,,12.0,11.8,Argenfood - Universidad Nacional de Luján
,,48.0,,11.6,0.2,Argenfood - Universidad Nacional de Luján
,,325.0,,16.6,28.7,Argenfood - Universidad Nacional de Luján
,,54.0,,12.8,0.3,Argenfood - Universidad Nacional de Luján
,,196.0,,16.3,14.5,Argenfood - Universidad Nacional de Luján
,,152.0,,13.4,10.9,Argenfood - Universidad Nacional de Luján
,,174.0,,13.6,13.3,Argenfood - Universidad Nacional de Luján
,,263.0,,0.9,0.1,Argenfood - Universidad Nacional de Luján
,,306.0,,3.7,0.2,Argenfood - Universidad Nacional de Luján
,,549.0,,5.4,31.5,Argenfood - Universidad Nacional de Luján
,,304.0,,3.5,0.1,Argenfood - Universidad Nacional de Luján
,,309.0,,3.8,0.6,Argenfood - Universidad Nacional de Luján
,,341.0,,8.1,9.0,Argenfood - Universidad Nacional de Luján
,,320.0,,,32.0,Argenfood - Universidad Nacional de Luján
,,723.0,,,79.0,Argenfood - Universidad Nacional de Luján
,,245.0,,17.5,19.0,Argenfood - Universidad Nacional de Luján
,,141.0,,17.3,8.0,Argenfood - Universidad Nacional de Luján
,,180.0,,18.7,11.7,Argenfood - Universidad Nacional de Luján
,,233.0,,19.9,17.0,Argenfood - Universidad Nacional de Luján
,,183.0,,21.3,10.9,Argenfood - Universidad Nacional de Luján
,,232.0,,22.8,15.6,Argenfood - Universidad Nacional de Luján
,,75.0,,15.4,1.5,Argenfood - Universidad Nacional de Luján
,,103.0,,14.6,4.9,Argenfood - Universidad Nacional de Luján
,,102.0,,20.8,2.1,Argenfood - Universidad Nacional de Luján
,,128.0,,23.7,3.7,Argenfood - Universidad Nacional de Luján
,,130.0,,21.4,4.9,Argenfood - Universidad Nacional de Luján
,,180.0,,18.5,11.8,Argenfood - Universidad Nacional de Luján
,,158.0,,22.7,7.5,Argenfood - Universidad Nacional de Luján
,,150.0,,25.1,5.5,Argenfood - Universidad Nacional de Luján
,,150.0,,23.7,6.1,Argenfood - Universidad Nacional de Luján
,,168.0,,24.3,7.9,Argenfood - Universidad Nacional de Luján
,,112.0,,17.5,4.7,Argenfood - Universidad Nacional de Luján
,,148.0,,16.7,9.1,Argenfood - Universidad Nacional de Luján
,,187.0,,16.7,13.3,Argenfood - Universidad Nacional de Luján
,,189.0,,22.0,11.3,Argenfood - Universidad Nacional de Luján
,,133.0,,19.6,6.1,Argenfood - Universidad Nacional de Luján
,,183.0,,20.6,11.2,Argenfood - Universidad Nacional de Luján
,,169.0,,22.6,8.8,Argenfood - Universidad Nacional de Luján
,,215.0,,23.0,13.6,Argenfood - Universidad Nacional de Luján
,,145.0,,18.0,8.1,Argenfood - Universidad Nacional de Luján
,,151.0,,17.5,9.0,Argenfood - Universidad Nacional de Luján
,,130.0,,20.5,5.3,Argenfood - Universidad Nacional de Luján
,,153.0,,25.1,5.8,Argenfood - Universidad Nacional de Luján
,,130.0,,23.4,4.0,Argenfood - Universidad Nacional de Luján
,,166.0,,24.9,7.4,Argenfood - Universidad Nacional de Luján
,,187.0,,17.6,13.0,Argenfood - Universidad Nacional de Luján
,,186.0,,23.4,10.3,Argenfood - Universidad Nacional de Luján
,,255.0,,23.5,17.9,Argenfood - Universidad Nacional de Luján
,,269.0,,26.7,18.0,Argenfood - Universidad Nacional de Luján
,,161.0,,15.9,10.8,Argenfood - Universidad Nacional de Luján
,,159.0,,15.2,10.9,Argenfood - Universidad Nacional de Luján
,,27.0,,0.5,0.2,Argenfood - Universidad Nacional de Luján
,,20.0,,0.4,,Argenfood - Universidad Nacional de Luján
,,48.0,,4.6,0.1,Argenfood - Universidad Nacional de Luján
,,335.0,,9.0,0.9,Argenfood - Universidad Nacional de Luján
,,388.0,,15.4,8.4,Argenfood - Universidad Nacional de Luján
,,384.0,,15.3,7.6,Argenfood - Universidad Nacional de Luján
,,384.0,,15.6,7.6,Argenfood - Universidad Nacional de Luján
,,381.0,,14.4,7.4,Argenfood - Universidad Nacional de Luján
,,340.0,,7.3,0.9,Argenfood - Universidad Nacional de Luján
,,346.0,,10.6,0.8,Argenfood - Universidad Nacional de Luján
,,344.0,,9.8,1.1,Argenfood - Universidad Nacional de Luján
,,345.0,,10.9,0.5,Argenfood - Universidad Nacional de Luján
,,305.0,,9.0,1.1,Argenfood - Universidad Nacional de Luján
,,399.0,,37.8,10.0,Argenfood - Universidad Nacional de Luján
,,411.0,,38.4,11.6,Argenfood - Universidad Nacional de Luján
,,15.0,0.4,2.9,0.2,Argenfood - Universidad Nacional de Luján
,,8.0,0.6,1.2,0.1,Argenfood - Universidad Nacional de Luján
,,93.0,,1.6,0.4,Argenfood - Universidad Nacional de Luján
,,147.0,,1.6,3.2,Argenfood - Universidad Nacional de Luján
,,34.0,,1.7,0.2,Argenfood - Universidad Nacional de Luján
,,46.0,,2.8,1.2,Argenfood - Universidad Nacional de Luján
,,32.0,,2.4,0.5,Argenfood - Universidad Nacional de Luján
