codigo,alimento,energia_kcal,carbohidratos_g,proteinas_g,grasas_totales_g,fuente,grupo
,,168.0,,29.8,5.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,64.0,,15.5,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,170.0,,18.4,10.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,189.0,,24.6,10.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,785.0,,0.5,87,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,111.0,,21.0,3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,224.0,,23.7,14.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,132.0,,19.7,3.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,33.0,,6.8,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,116.0,,20.0,4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,97.0,,21.2,1.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,335.0,,14.0,31,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,137.0,,15.0,8.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,139.0,,27.2,3.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,95.0,,20.0,1.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,171.0,,23.8,8.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,258.0,,25.6,17.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,241.0,,28.1,14.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,233.0,,36.0,9.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,120.0,,20.7,2.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,197.0,,38.6,4.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,98.0,,19.5,,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,207.0,,37.0,6.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,107.0,,19.0,3.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,231.0,,41.1,6.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,105.0,,18.4,2.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,236.0,,36.5,9.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,120.0,,21.1,2.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,177.0,,35.1,3.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,103.0,,21.0,1.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,192.0,,35.5,5.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,106.0,,18.4,2.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,203.0,,38.4,5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,107.0,,18.4,2.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,3.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,4.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,1.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,3.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,1.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,45.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,1.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,1.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,3.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,3.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,4.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,1.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,3.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,3.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,4.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,1.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,5.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,3.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,1.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,5.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
